 Date, Agent_ID, Process_Type, Accounts_Worked, AHT_Minutes, Quality_Score_Pct, Total_Logged_Hours
13-03-2026,EMP025,Charge Entry,99,4,0.98,7.9
14-03-2026,EMP025,Payment Posting,83,4,0.98,6.7
14-03-2026,EMP025,Denial Management,31,4,0.97,7.9
14-03-2026,EMP025,Payment Posting,115,4,0.98,8
15-03-2026,EMP025,Charge Entry,142,4,0.98,7.9
16-03-2026,EMP025,Charge Entry,86,4,0.98,6.8
19-03-2026,EMP025,Payment Posting,120,4,0.98,6.8
19-03-2026,EMP025,Charge Entry,132,4,0.98,7.3
20-03-2026,EMP025,Charge Entry,116,4,0.98,7.9
21-03-2026,EMP025,Charge Entry,124,4,0.98,7.1
23-03-2026,EMP025,Denial Management,50,4,0.97,6.6
24-03-2026,EMP025,Charge Entry,133,4,0.98,6.8
24-03-2026,EMP025,Charge Entry,109,4,0.98,7.2
24-03-2026,EMP025,Denial Management,54,4,0.97,7.5
25-03-2026,EMP025,Denial Management,37,4,0.97,7.4
25-03-2026,EMP025,Charge Entry,85,4,0.98,6.6
25-03-2026,EMP025,Payment Posting,120,4,0.98,7.6
27-03-2026,EMP025,Charge Entry,84,4,0.98,7.6
29-03-2026,EMP025,Charge Entry,106,4,0.98,7.3
30-03-2026,EMP025,Charge Entry,147,4,0.98,7.9
30-03-2026,EMP025,Payment Posting,71,4,0.98,7.9
02-03-2026,EMP026,Charge Entry,101,5,0.85,7.8
02-03-2026,EMP026,Charge Entry,99,5,0.83,7.9
03-03-2026,EMP026,Payment Posting,68,5,1,7.5
04-03-2026,EMP026,Charge Entry,89,5,0.99,7.1
04-03-2026,EMP026,Denial Management,56,7,0.97,6.5
05-03-2026,EMP026,Payment Posting,103,5,0.94,6.9
05-03-2026,EMP026,Payment Posting,79,5,0.94,7.8
06-03-2026,EMP026,Charge Entry,149,5,0.91,7.3
08-03-2026,EMP026,Charge Entry,88,5,0.86,7.9
10-03-2026,EMP026,Payment Posting,92,5,0.98,7.5
11-03-2026,EMP026,Charge Entry,96,5,0.84,7.3
12-03-2026,EMP026,Payment Posting,118,5,0.93,6.6
13-03-2026,EMP026,Denial Management,37,7,0.97,7.1
13-03-2026,EMP026,Charge Entry,81,5,0.98,7.6
13-03-2026,EMP026,Payment Posting,95,5,0.85,7.6
15-03-2026,EMP026,Charge Entry,81,5,0.88,7.9
16-03-2026,EMP026,Denial Management,41,7,0.93,7
16-03-2026,EMP026,Denial Management,41,5,0.91,6.7
18-03-2026,EMP026,Payment Posting,93,5,0.96,7.1
19-03-2026,EMP026,Charge Entry,119,5,0.95,7.2
20-03-2026,EMP026,Denial Management,30,7,0.99,6.8
20-03-2026,EMP026,Payment Posting,84,5,0.86,7.6
20-03-2026,EMP026,Payment Posting,65,5,0.92,6.9
20-03-2026,EMP026,Charge Entry,114,5,0.91,7.4
20-03-2026,EMP026,Denial Management,45,5,1,6.6
23-03-2026,EMP026,Charge Entry,88,5,0.95,8
24-03-2026,EMP026,Payment Posting,70,5,0.85,7.2
24-03-2026,EMP026,Charge Entry,130,5,0.85,7.1
25-03-2026,EMP026,Denial Management,32,5,0.97,6.9
27-03-2026,EMP026,Denial Management,57,7,0.97,7.8
30-03-2026,EMP026,Denial Management,32,7,0.97,7.1
01-03-2026,EMP027,Payment Posting,101,5,0.98,8
01-03-2026,EMP027,Denial Management,52,7,0.97,8
01-03-2026,EMP027,Payment Posting,68,5,0.99,7.6
01-03-2026,EMP027,Denial Management,30,7,0.94,7.5
01-03-2026,EMP027,Charge Entry,95,5,0.9,7.7
02-03-2026,EMP027,Denial Management,47,7,0.98,7.1
02-03-2026,EMP027,Denial Management,54,7,0.99,7.9
03-03-2026,EMP027,Charge Entry,116,5,0.82,6.9
04-03-2026,EMP027,Charge Entry,93,5,0.97,6.8
05-03-2026,EMP027,Payment Posting,80,5,0.97,6.8
05-03-2026,EMP027,Denial Management,34,7,1,6.7
05-03-2026,EMP027,Charge Entry,105,5,0.83,7.2
06-03-2026,EMP027,Denial Management,34,7,0.97,7.2
06-03-2026,EMP027,Payment Posting,94,5,0.92,6.9
09-03-2026,EMP027,Payment Posting,104,5,0.95,7.8
14-03-2026,EMP027,Denial Management,32,5,0.84,6.8
16-03-2026,EMP027,Payment Posting,90,5,0.95,6.6
16-03-2026,EMP027,Denial Management,31,7,0.97,6.8
17-03-2026,EMP027,Denial Management,49,7,0.98,6.5
17-03-2026,EMP027,Charge Entry,139,5,0.88,7.6
17-03-2026,EMP027,Denial Management,40,7,0.97,7.5
18-03-2026,EMP027,Payment Posting,110,5,0.97,6.7
22-03-2026,EMP027,Charge Entry,106,5,1,6.8
23-03-2026,EMP027,Charge Entry,83,5,0.86,7.6
24-03-2026,EMP027,Charge Entry,100,5,1,7.7
24-03-2026,EMP027,Denial Management,38,7,0.97,6.7
24-03-2026,EMP027,Charge Entry,96,5,0.91,7.5
25-03-2026,EMP027,Denial Management,34,7,0.99,7.5
27-03-2026,EMP027,Charge Entry,99,5,0.82,6.7
27-03-2026,EMP027,Denial Management,48,7,0.97,7.9
29-03-2026,EMP027,Denial Management,55,5,0.93,7.1
29-03-2026,EMP027,Payment Posting,110,5,0.91,7.2
29-03-2026,EMP027,Charge Entry,121,5,0.94,6.9
29-03-2026,EMP027,Payment Posting,85,5,0.86,6.5
29-03-2026,EMP027,Charge Entry,108,5,0.99,6.8
01-03-2026,EMP028,Denial Management,46,12,0.86,6.6
05-03-2026,EMP028,Denial Management,30,11,0.94,6.8
05-03-2026,EMP028,Denial Management,57,12,0.85,7.2
05-03-2026,EMP028,Payment Posting,60,5,0.98,7.8
06-03-2026,EMP028,Payment Posting,100,8,0.91,6.6
07-03-2026,EMP028,Payment Posting,95,5,0.93,7.4
08-03-2026,EMP028,Payment Posting,113,6,0.9,7.9
15-03-2026,EMP028,Denial Management,42,12,1,7.1
16-03-2026,EMP028,Payment Posting,94,8,0.96,7.5
17-03-2026,EMP028,Payment Posting,116,7,0.82,7.9
17-03-2026,EMP028,Charge Entry,120,3,0.88,6.9
20-03-2026,EMP028,Denial Management,49,14,0.89,7.3
20-03-2026,EMP028,Denial Management,59,15,0.9,7.7
21-03-2026,EMP028,Payment Posting,64,6,0.86,7.3
22-03-2026,EMP028,Payment Posting,64,6,0.85,7.1
23-03-2026,EMP028,Payment Posting,95,4,0.85,6.8
23-03-2026,EMP028,Charge Entry,115,6,0.87,7.1
24-03-2026,EMP028,Payment Posting,73,6,0.87,6.6
25-03-2026,EMP028,Denial Management,31,14,0.97,6.7
26-03-2026,EMP028,Denial Management,57,13,1,7.4
26-03-2026,EMP028,Denial Management,52,15,0.9,7.6
27-03-2026,EMP028,Charge Entry,103,3,0.91,7
29-03-2026,EMP028,Payment Posting,73,6,0.9,7.8
30-03-2026,EMP028,Charge Entry,110,4,0.86,7.1
30-03-2026,EMP028,Denial Management,46,8,0.94,6.9
30-03-2026,EMP028,Charge Entry,131,5,0.9,7.7
02-03-2026,EMP029,Denial Management,35,9,0.83,6.9
02-03-2026,EMP029,Charge Entry,104,5,0.87,7.2
02-03-2026,EMP029,Payment Posting,98,6,1,7.3
02-03-2026,EMP029,Payment Posting,120,8,0.86,8
03-03-2026,EMP029,Charge Entry,145,3,0.94,6.8
03-03-2026,EMP029,Denial Management,49,10,0.87,7.2
07-03-2026,EMP029,Payment Posting,107,4,1,6.9
07-03-2026,EMP029,Charge Entry,129,3,0.91,6.8
11-03-2026,EMP029,Denial Management,32,15,0.91,7.1
11-03-2026,EMP029,Payment Posting,106,6,0.84,7.5
13-03-2026,EMP029,Charge Entry,115,3,0.82,7.4
16-03-2026,EMP029,Charge Entry,141,4,0.98,7.1
18-03-2026,EMP029,Denial Management,58,8,0.88,6.7
18-03-2026,EMP029,Charge Entry,110,3,0.92,6.6
19-03-2026,EMP029,Charge Entry,89,4,0.95,7.1
19-03-2026,EMP029,Charge Entry,137,3,0.86,6.7
20-03-2026,EMP029,Payment Posting,66,7,0.97,8
22-03-2026,EMP029,Charge Entry,146,6,0.83,7.8
25-03-2026,EMP029,Charge Entry,145,3,0.97,7.9
28-03-2026,EMP029,Denial Management,60,9,0.98,7
01-03-2026,EMP030,Payment Posting,69,4,0.86,7.9
02-03-2026,EMP030,Payment Posting,73,7,0.93,6.6
05-03-2026,EMP030,Denial Management,52,10,0.92,7.3
06-03-2026,EMP030,Payment Posting,96,4,0.89,7.7
06-03-2026,EMP030,Charge Entry,110,5,0.87,6.6
07-03-2026,EMP030,Payment Posting,71,4,0.89,7.9
07-03-2026,EMP030,Charge Entry,149,6,0.95,7.3
09-03-2026,EMP030,Payment Posting,118,4,0.93,7.5
11-03-2026,EMP030,Charge Entry,83,4,0.93,6.6
12-03-2026,EMP030,Charge Entry,102,6,0.91,6.6
12-03-2026,EMP030,Payment Posting,118,7,0.88,7.1
12-03-2026,EMP030,Denial Management,46,11,0.95,6.5
14-03-2026,EMP030,Denial Management,57,14,0.89,8
14-03-2026,EMP030,Denial Management,46,13,0.89,7.7
21-03-2026,EMP030,Denial Management,49,15,0.94,7
21-03-2026,EMP030,Charge Entry,91,6,0.94,7.2
23-03-2026,EMP030,Charge Entry,146,5,0.91,8
23-03-2026,EMP030,Payment Posting,113,6,0.85,6.8
24-03-2026,EMP030,Payment Posting,90,7,0.96,8
28-03-2026,EMP030,Payment Posting,99,6,1,6.8
01-03-2026,EMP031,Payment Posting,102,4,0.83,7.3
02-03-2026,EMP031,Payment Posting,91,8,0.97,7.7
03-03-2026,EMP031,Denial Management,35,12,0.91,7.3
04-03-2026,EMP031,Charge Entry,119,3,0.97,7.1
04-03-2026,EMP031,Denial Management,41,11,1,6.6
05-03-2026,EMP031,Payment Posting,60,8,0.89,6.7
07-03-2026,EMP031,Payment Posting,116,4,0.84,7.5
09-03-2026,EMP031,Charge Entry,134,3,0.91,7.7
09-03-2026,EMP031,Charge Entry,80,3,0.89,7
09-03-2026,EMP031,Denial Management,34,14,0.98,7.2
09-03-2026,EMP031,Charge Entry,93,5,0.85,7.4
10-03-2026,EMP031,Charge Entry,93,4,0.97,7.7
10-03-2026,EMP031,Denial Management,32,9,0.93,7.7
11-03-2026,EMP031,Denial Management,57,9,0.85,7.3
11-03-2026,EMP031,Denial Management,47,15,0.93,7.7
12-03-2026,EMP031,Payment Posting,67,7,0.98,7.1
12-03-2026,EMP031,Denial Management,53,12,0.9,6.9
14-03-2026,EMP031,Payment Posting,101,4,0.84,7.6
14-03-2026,EMP031,Charge Entry,97,5,0.82,7.3
21-03-2026,EMP031,Denial Management,43,8,0.92,6.7
22-03-2026,EMP031,Payment Posting,103,6,0.84,8
22-03-2026,EMP031,Payment Posting,118,8,0.97,7
24-03-2026,EMP031,Denial Management,56,9,0.99,6.8
24-03-2026,EMP031,Denial Management,45,15,0.88,7.2
25-03-2026,EMP031,Denial Management,49,13,0.89,7.2
28-03-2026,EMP031,Payment Posting,113,4,0.88,6.8
29-03-2026,EMP031,Charge Entry,88,6,0.94,6.6
30-03-2026,EMP031,Payment Posting,69,6,0.87,7.8
30-03-2026,EMP031,Payment Posting,108,4,0.87,7.5
01-03-2026,EMP032,Payment Posting,62,8,0.91,6.6
02-03-2026,EMP032,Denial Management,48,13,0.93,8
03-03-2026,EMP032,Payment Posting,66,8,0.96,6.9
04-03-2026,EMP032,Payment Posting,113,6,0.88,6.9
05-03-2026,EMP032,Payment Posting,67,6,0.98,7.7
06-03-2026,EMP032,Payment Posting,103,7,0.9,7.4
06-03-2026,EMP032,Denial Management,57,12,0.91,7.3
07-03-2026,EMP032,Payment Posting,95,4,0.92,8
08-03-2026,EMP032,Denial Management,35,10,0.88,6.8
08-03-2026,EMP032,Payment Posting,93,5,0.94,7.4
09-03-2026,EMP032,Charge Entry,123,4,0.97,7.8
09-03-2026,EMP032,Charge Entry,118,4,0.96,6.5
10-03-2026,EMP032,Charge Entry,83,4,0.98,6.8
12-03-2026,EMP032,Payment Posting,116,5,0.84,7.9
13-03-2026,EMP032,Payment Posting,76,6,0.96,7.3
14-03-2026,EMP032,Payment Posting,109,8,0.98,7.3
15-03-2026,EMP032,Denial Management,38,15,0.87,7.4
15-03-2026,EMP032,Payment Posting,93,5,0.9,7.6
15-03-2026,EMP032,Payment Posting,72,4,0.94,7
16-03-2026,EMP032,Denial Management,30,13,0.95,7.1
16-03-2026,EMP032,Charge Entry,109,4,0.86,7.1
16-03-2026,EMP032,Charge Entry,138,3,0.82,7.3
17-03-2026,EMP032,Payment Posting,100,6,0.96,6.5
18-03-2026,EMP032,Denial Management,40,14,0.98,6.8
18-03-2026,EMP032,Charge Entry,102,6,0.86,7.1
18-03-2026,EMP032,Payment Posting,72,7,0.87,7.9
19-03-2026,EMP032,Charge Entry,132,4,1,6.9
20-03-2026,EMP032,Denial Management,41,14,0.93,6.8
20-03-2026,EMP032,Payment Posting,94,6,0.86,7.9
21-03-2026,EMP032,Charge Entry,94,5,0.88,7.4
22-03-2026,EMP032,Denial Management,47,9,0.87,6.8
22-03-2026,EMP032,Denial Management,56,14,0.95,6.9
23-03-2026,EMP032,Charge Entry,142,5,0.96,7.7
24-03-2026,EMP032,Denial Management,56,10,0.97,6.5
25-03-2026,EMP032,Charge Entry,121,6,0.98,7
26-03-2026,EMP032,Charge Entry,126,4,0.95,7.7
26-03-2026,EMP032,Denial Management,48,13,0.82,6.6
27-03-2026,EMP032,Payment Posting,106,7,0.96,8
28-03-2026,EMP032,Charge Entry,113,4,0.91,7.9
30-03-2026,EMP032,Charge Entry,143,3,0.84,7.2
30-03-2026,EMP032,Payment Posting,72,7,0.94,7.5
01-03-2026,EMP033,Denial Management,38,4,0.97,6.9
02-03-2026,EMP033,Denial Management,44,4,0.97,7.8
02-03-2026,EMP033,Payment Posting,88,4,0.98,6.5
03-03-2026,EMP033,Denial Management,31,4,0.97,6.5
04-03-2026,EMP033,Payment Posting,113,4,0.98,6.8
08-03-2026,EMP033,Denial Management,33,4,0.97,6.5
08-03-2026,EMP033,Payment Posting,81,4,0.98,7.7
09-03-2026,EMP033,Denial Management,37,4,0.97,7.2
09-03-2026,EMP033,Payment Posting,93,4,0.98,7.7
09-03-2026,EMP033,Payment Posting,70,4,0.98,6.5
11-03-2026,EMP033,Denial Management,36,4,0.97,7.8
11-03-2026,EMP033,Payment Posting,62,4,0.98,7.1
13-03-2026,EMP033,Denial Management,32,4,0.97,7.2
14-03-2026,EMP033,Payment Posting,104,4,0.98,7.5
16-03-2026,EMP033,Charge Entry,110,4,0.98,7.9
17-03-2026,EMP033,Denial Management,60,4,0.97,7.4
17-03-2026,EMP033,Charge Entry,105,4,0.98,7.9
19-03-2026,EMP033,Payment Posting,111,4,0.98,7.8
20-03-2026,EMP033,Charge Entry,96,4,0.98,7.2
21-03-2026,EMP033,Denial Management,34,4,0.97,7.3
21-03-2026,EMP033,Payment Posting,82,4,0.98,7.9
23-03-2026,EMP033,Payment Posting,107,4,0.98,7.2
24-03-2026,EMP033,Charge Entry,133,4,0.98,7.2
24-03-2026,EMP033,Charge Entry,142,4,0.98,7.4
25-03-2026,EMP033,Denial Management,55,4,0.97,7.7
26-03-2026,EMP033,Denial Management,57,4,0.97,7.3
26-03-2026,EMP033,Charge Entry,115,4,0.98,7
26-03-2026,EMP033,Charge Entry,149,4,0.98,7.2
27-03-2026,EMP033,Payment Posting,67,4,0.98,6.9
27-03-2026,EMP033,Denial Management,59,4,0.97,8
28-03-2026,EMP033,Charge Entry,134,4,0.98,7.3
29-03-2026,EMP033,Charge Entry,144,4,0.98,7.1
30-03-2026,EMP033,Denial Management,54,4,0.97,8
01-03-2026,EMP034,Denial Management,45,4,0.97,7.5
02-03-2026,EMP034,Denial Management,39,4,0.97,7.9
06-03-2026,EMP034,Charge Entry,138,4,0.98,6.9
07-03-2026,EMP034,Payment Posting,85,4,0.98,7
07-03-2026,EMP034,Charge Entry,141,4,0.98,7.9
09-03-2026,EMP034,Denial Management,56,4,0.97,7.1
10-03-2026,EMP034,Denial Management,33,4,0.97,7.3
11-03-2026,EMP034,Charge Entry,107,4,0.98,6.9
11-03-2026,EMP034,Denial Management,47,4,0.97,7.4
11-03-2026,EMP034,Denial Management,43,4,0.97,7.3
12-03-2026,EMP034,Charge Entry,107,4,0.98,6.6
12-03-2026,EMP034,Payment Posting,67,4,0.98,7.2
13-03-2026,EMP034,Charge Entry,121,4,0.98,7
15-03-2026,EMP034,Charge Entry,104,4,0.98,7
16-03-2026,EMP034,Payment Posting,83,4,0.98,6.9
17-03-2026,EMP034,Denial Management,35,4,0.97,7
18-03-2026,EMP034,Denial Management,43,4,0.97,7.9
18-03-2026,EMP034,Charge Entry,80,4,0.98,7.9
18-03-2026,EMP034,Payment Posting,82,4,0.98,7.1
19-03-2026,EMP034,Denial Management,44,4,0.97,7.1
22-03-2026,EMP034,Denial Management,50,4,0.97,6.6
22-03-2026,EMP034,Denial Management,43,4,0.97,7.4
23-03-2026,EMP034,Charge Entry,136,4,0.98,6.6
25-03-2026,EMP034,Denial Management,53,4,0.97,6.7
25-03-2026,EMP034,Payment Posting,65,4,0.98,7
25-03-2026,EMP034,Denial Management,33,4,0.97,6.6
26-03-2026,EMP034,Payment Posting,107,4,0.98,7.7
27-03-2026,EMP034,Payment Posting,69,4,0.98,7.5
27-03-2026,EMP034,Denial Management,35,4,0.97,7.1
28-03-2026,EMP034,Denial Management,43,4,0.97,7.4
29-03-2026,EMP034,Payment Posting,67,4,0.98,6.6
30-03-2026,EMP034,Denial Management,31,4,0.97,7.9
30-03-2026,EMP034,Denial Management,51,4,0.97,7.5
04-03-2026,EMP035,Charge Entry,143,4,0.98,7
06-03-2026,EMP035,Payment Posting,107,4,0.98,7
06-03-2026,EMP035,Denial Management,57,4,0.97,6.6
07-03-2026,EMP035,Charge Entry,103,4,0.98,6.5
09-03-2026,EMP035,Denial Management,40,4,0.97,7.9
09-03-2026,EMP035,Payment Posting,112,4,0.98,7.2
10-03-2026,EMP035,Payment Posting,76,4,0.98,7
12-03-2026,EMP035,Denial Management,55,4,0.97,7.8
12-03-2026,EMP035,Payment Posting,70,4,0.98,7.9
13-03-2026,EMP035,Payment Posting,96,4,0.98,6.6
15-03-2026,EMP035,Denial Management,57,4,0.97,7.8
15-03-2026,EMP035,Payment Posting,109,4,0.98,7.5
15-03-2026,EMP035,Denial Management,34,4,0.97,7.3
15-03-2026,EMP035,Charge Entry,91,4,0.98,6.7
16-03-2026,EMP035,Payment Posting,119,4,0.98,6.8
17-03-2026,EMP035,Denial Management,41,4,0.97,7.6
17-03-2026,EMP035,Charge Entry,145,4,0.98,7.2
19-03-2026,EMP035,Charge Entry,100,4,0.98,7.3
19-03-2026,EMP035,Denial Management,33,4,0.97,6.7
21-03-2026,EMP035,Denial Management,44,4,0.97,7.3
22-03-2026,EMP035,Denial Management,40,4,0.97,7.1
25-03-2026,EMP035,Denial Management,51,4,0.97,7.9
26-03-2026,EMP035,Charge Entry,132,4,0.98,7.3
28-03-2026,EMP035,Denial Management,56,4,0.97,7.9
29-03-2026,EMP035,Charge Entry,138,4,0.98,8
29-03-2026,EMP035,Charge Entry,106,4,0.98,7.7
29-03-2026,EMP035,Charge Entry,95,4,0.98,6.6
01-03-2026,EMP036,Charge Entry,123,4,0.98,7.3
02-03-2026,EMP036,Payment Posting,90,4,0.98,6.8
03-03-2026,EMP036,Charge Entry,117,4,0.98,7.1
04-03-2026,EMP036,Charge Entry,107,4,0.98,6.9
05-03-2026,EMP036,Denial Management,42,4,0.97,6.9
06-03-2026,EMP036,Charge Entry,111,4,0.98,7.2
07-03-2026,EMP036,Payment Posting,92,4,0.98,6.7
07-03-2026,EMP036,Payment Posting,67,4,0.98,6.7
07-03-2026,EMP036,Denial Management,39,4,0.97,7
08-03-2026,EMP036,Denial Management,30,4,0.97,7
09-03-2026,EMP036,Charge Entry,106,4,0.98,7.7
09-03-2026,EMP036,Charge Entry,117,4,0.98,7
09-03-2026,EMP036,Payment Posting,84,4,0.98,7.2
12-03-2026,EMP036,Charge Entry,103,4,0.98,7.2
12-03-2026,EMP036,Charge Entry,87,4,0.98,7.7
14-03-2026,EMP036,Denial Management,53,4,0.97,7
14-03-2026,EMP036,Denial Management,42,4,0.97,7.2
18-03-2026,EMP036,Charge Entry,138,4,0.98,7.5
19-03-2026,EMP036,Denial Management,48,4,0.97,7.6
19-03-2026,EMP036,Charge Entry,89,4,0.98,6.7
21-03-2026,EMP036,Charge Entry,80,4,0.98,7.5
21-03-2026,EMP036,Denial Management,43,4,0.97,8
22-03-2026,EMP036,Payment Posting,79,4,0.98,6.6
26-03-2026,EMP036,Denial Management,35,4,0.97,6.7
27-03-2026,EMP036,Charge Entry,114,4,0.98,7.8
27-03-2026,EMP036,Charge Entry,134,4,0.98,7.3
27-03-2026,EMP036,Charge Entry,139,4,0.98,6.6
30-03-2026,EMP036,Denial Management,60,4,0.97,7.4
30-03-2026,EMP036,Denial Management,39,4,0.97,7.4
30-03-2026,EMP036,Payment Posting,72,4,0.98,7.8
01-03-2026,EMP037,Payment Posting,103,6,0.9,7.2
01-03-2026,EMP037,Charge Entry,125,4,0.95,6.7
02-03-2026,EMP037,Payment Posting,77,8,0.96,6.8
03-03-2026,EMP037,Denial Management,55,14,0.83,6.6
04-03-2026,EMP037,Charge Entry,111,4,0.95,7.9
06-03-2026,EMP037,Charge Entry,101,5,0.92,6.7
07-03-2026,EMP037,Payment Posting,105,4,0.83,6.8
07-03-2026,EMP037,Payment Posting,89,6,0.9,7.3
07-03-2026,EMP037,Charge Entry,137,3,1,7.4
07-03-2026,EMP037,Charge Entry,128,5,0.83,7.8
09-03-2026,EMP037,Charge Entry,141,6,0.99,7.5
10-03-2026,EMP037,Denial Management,36,9,0.9,7.1
12-03-2026,EMP037,Payment Posting,77,5,0.95,6.5
12-03-2026,EMP037,Denial Management,46,15,0.95,7.4
13-03-2026,EMP037,Payment Posting,64,8,0.92,7.2
14-03-2026,EMP037,Payment Posting,71,7,0.83,6.6
14-03-2026,EMP037,Denial Management,34,8,0.83,7.4
14-03-2026,EMP037,Charge Entry,148,6,1,7.8
14-03-2026,EMP037,Charge Entry,136,4,0.92,7.1
15-03-2026,EMP037,Charge Entry,114,3,0.89,6.6
16-03-2026,EMP037,Charge Entry,145,6,0.98,6.7
18-03-2026,EMP037,Denial Management,52,11,0.87,8
19-03-2026,EMP037,Charge Entry,122,4,0.96,6.8
21-03-2026,EMP037,Payment Posting,85,5,0.85,6.5
22-03-2026,EMP037,Payment Posting,109,5,0.92,7.5
23-03-2026,EMP037,Denial Management,42,15,0.92,6.7
25-03-2026,EMP037,Denial Management,31,9,0.97,7.3
27-03-2026,EMP037,Charge Entry,108,5,0.91,6.5
28-03-2026,EMP037,Charge Entry,107,5,0.92,7.2
28-03-2026,EMP037,Charge Entry,108,3,0.87,7.6
28-03-2026,EMP037,Payment Posting,81,8,0.89,7.2
