 Date, Agent_ID, Process_Type, Accounts_Worked, AHT_Minutes, Quality_Score_Pct, Total_Logged_Hours
29-03-2026,EMP037,Charge Entry,106,6,0.88,6.6
30-03-2026,EMP037,Payment Posting,92,6,0.84,6.8
01-03-2026,EMP038,Payment Posting,113,8,0.9,7.4
01-03-2026,EMP038,Payment Posting,61,4,0.88,6.9
02-03-2026,EMP038,Denial Management,60,13,0.92,7.8
03-03-2026,EMP038,Payment Posting,119,8,0.98,6.6
06-03-2026,EMP038,Denial Management,51,12,0.99,7.5
06-03-2026,EMP038,Denial Management,50,13,0.84,6.8
08-03-2026,EMP038,Denial Management,33,9,0.92,6.6
08-03-2026,EMP038,Charge Entry,108,3,0.99,7.1
09-03-2026,EMP038,Charge Entry,136,5,0.92,7.4
10-03-2026,EMP038,Payment Posting,106,4,0.86,6.8
11-03-2026,EMP038,Denial Management,34,11,0.88,7.3
13-03-2026,EMP038,Payment Posting,75,7,0.84,7.8
13-03-2026,EMP038,Denial Management,34,14,0.97,7.6
13-03-2026,EMP038,Payment Posting,83,8,0.84,6.9
14-03-2026,EMP038,Denial Management,54,13,0.91,7.8
14-03-2026,EMP038,Charge Entry,96,3,0.91,7.3
15-03-2026,EMP038,Denial Management,46,9,0.93,6.9
15-03-2026,EMP038,Denial Management,37,8,0.94,7.7
16-03-2026,EMP038,Payment Posting,73,7,0.91,7.9
16-03-2026,EMP038,Charge Entry,94,4,0.98,7.8
17-03-2026,EMP038,Charge Entry,132,6,0.95,7.9
17-03-2026,EMP038,Charge Entry,140,5,0.83,7.5
18-03-2026,EMP038,Denial Management,42,12,1,7.2
18-03-2026,EMP038,Payment Posting,98,7,0.86,6.6
22-03-2026,EMP038,Denial Management,57,12,0.93,6.9
22-03-2026,EMP038,Denial Management,47,10,0.88,7.9
23-03-2026,EMP038,Charge Entry,115,5,0.82,6.5
24-03-2026,EMP038,Denial Management,37,13,0.96,7.2
24-03-2026,EMP038,Payment Posting,105,7,0.95,7.9
25-03-2026,EMP038,Payment Posting,92,4,0.92,7.2
26-03-2026,EMP038,Charge Entry,95,5,0.98,6.9
28-03-2026,EMP038,Payment Posting,102,6,0.92,7.2
29-03-2026,EMP038,Payment Posting,81,8,0.97,7.7
29-03-2026,EMP038,Denial Management,41,11,0.91,6.7
30-03-2026,EMP038,Payment Posting,96,6,0.87,6.8
05-03-2026,EMP039,Denial Management,39,12,0.89,7.5
09-03-2026,EMP039,Denial Management,52,14,0.85,7.7
10-03-2026,EMP039,Payment Posting,101,6,0.94,6.5
11-03-2026,EMP039,Payment Posting,111,6,0.83,7.6
11-03-2026,EMP039,Denial Management,30,15,0.88,6.7
12-03-2026,EMP039,Payment Posting,71,8,0.86,7.1
12-03-2026,EMP039,Denial Management,50,10,0.89,6.5
12-03-2026,EMP039,Charge Entry,101,3,0.96,6.8
15-03-2026,EMP039,Denial Management,50,9,0.95,6.6
15-03-2026,EMP039,Denial Management,47,13,0.96,6.9
16-03-2026,EMP039,Charge Entry,135,4,0.92,7.6
17-03-2026,EMP039,Payment Posting,117,5,0.97,6.8
17-03-2026,EMP039,Charge Entry,88,6,0.92,6.5
18-03-2026,EMP039,Payment Posting,120,6,0.83,6.9
22-03-2026,EMP039,Charge Entry,149,6,0.98,7.1
25-03-2026,EMP039,Payment Posting,95,4,0.88,6.8
26-03-2026,EMP039,Denial Management,32,10,0.99,7.5
27-03-2026,EMP039,Charge Entry,111,6,0.88,7.7
28-03-2026,EMP039,Payment Posting,102,8,0.87,6.8
29-03-2026,EMP039,Charge Entry,116,3,0.99,7.1
30-03-2026,EMP039,Charge Entry,100,5,0.84,6.6
01-03-2026,EMP040,Denial Management,58,8,0.97,7.3
02-03-2026,EMP040,Charge Entry,90,6,0.82,7.3
04-03-2026,EMP040,Charge Entry,142,3,1,6.7
05-03-2026,EMP040,Denial Management,44,10,0.94,7.2
05-03-2026,EMP040,Payment Posting,109,6,0.96,7.3
06-03-2026,EMP040,Denial Management,30,9,0.95,7.8
06-03-2026,EMP040,Denial Management,60,15,0.96,6.8
09-03-2026,EMP040,Payment Posting,92,5,0.95,6.8
11-03-2026,EMP040,Charge Entry,99,5,1,7.2
12-03-2026,EMP040,Charge Entry,132,3,0.94,7.5
13-03-2026,EMP040,Denial Management,48,15,0.94,7.1
15-03-2026,EMP040,Charge Entry,83,6,1,7.2
16-03-2026,EMP040,Denial Management,49,8,0.91,8
17-03-2026,EMP040,Charge Entry,84,4,0.93,8
17-03-2026,EMP040,Denial Management,46,11,0.86,7.9
17-03-2026,EMP040,Charge Entry,116,6,0.98,6.8
19-03-2026,EMP040,Payment Posting,81,6,0.85,8
19-03-2026,EMP040,Payment Posting,100,6,0.87,7.8
19-03-2026,EMP040,Denial Management,44,14,0.94,7.1
21-03-2026,EMP040,Charge Entry,93,4,0.9,6.7
24-03-2026,EMP040,Payment Posting,110,5,0.95,6.5
24-03-2026,EMP040,Payment Posting,84,8,0.9,6.7
25-03-2026,EMP040,Charge Entry,112,5,0.82,7.3
27-03-2026,EMP040,Charge Entry,96,3,0.96,8
29-03-2026,EMP040,Payment Posting,104,7,0.91,6.9
01-03-2026,EMP041,Denial Management,32,8,0.82,6.9
03-03-2026,EMP041,Payment Posting,87,8,0.96,7.7
06-03-2026,EMP041,Charge Entry,144,6,0.87,6.5
06-03-2026,EMP041,Charge Entry,119,6,1,7.5
07-03-2026,EMP041,Payment Posting,77,5,0.95,7.4
09-03-2026,EMP041,Denial Management,33,15,0.83,7.9
10-03-2026,EMP041,Denial Management,34,9,0.89,7
10-03-2026,EMP041,Payment Posting,101,4,0.84,7.7
10-03-2026,EMP041,Payment Posting,99,8,0.89,8
12-03-2026,EMP041,Denial Management,54,13,0.89,7.4
14-03-2026,EMP041,Charge Entry,82,6,1,6.9
14-03-2026,EMP041,Charge Entry,105,6,0.86,7.3
15-03-2026,EMP041,Payment Posting,90,5,0.88,7.4
15-03-2026,EMP041,Denial Management,39,15,0.84,7.7
16-03-2026,EMP041,Denial Management,60,14,0.89,7.6
18-03-2026,EMP041,Denial Management,30,11,0.84,7.8
18-03-2026,EMP041,Charge Entry,104,4,0.88,6.5
18-03-2026,EMP041,Payment Posting,94,8,0.82,6.8
19-03-2026,EMP041,Charge Entry,124,6,0.91,6.9
23-03-2026,EMP041,Payment Posting,68,4,0.92,7.4
24-03-2026,EMP041,Charge Entry,96,4,0.96,7.4
24-03-2026,EMP041,Denial Management,38,10,0.9,7.4
25-03-2026,EMP041,Payment Posting,97,4,0.88,6.7
27-03-2026,EMP041,Charge Entry,103,4,0.99,7.1
29-03-2026,EMP041,Payment Posting,120,8,0.92,6.7
30-03-2026,EMP041,Charge Entry,113,5,0.99,7.7
05-03-2026,EMP042,Denial Management,47,4,0.97,6.9
05-03-2026,EMP042,Payment Posting,112,4,0.98,6.5
06-03-2026,EMP042,Denial Management,54,4,0.97,7.9
06-03-2026,EMP042,Denial Management,45,4,0.97,7.6
08-03-2026,EMP042,Payment Posting,116,4,0.98,8
09-03-2026,EMP042,Charge Entry,146,4,0.98,7
10-03-2026,EMP042,Payment Posting,107,4,0.98,6.7
10-03-2026,EMP042,Denial Management,51,4,0.97,7.1
11-03-2026,EMP042,Payment Posting,65,4,0.98,8
11-03-2026,EMP042,Denial Management,53,4,0.97,7.4
11-03-2026,EMP042,Charge Entry,103,4,0.98,7.9
12-03-2026,EMP042,Payment Posting,111,4,0.98,7.4
12-03-2026,EMP042,Charge Entry,101,4,0.98,7.3
13-03-2026,EMP042,Denial Management,37,4,0.97,7.4
14-03-2026,EMP042,Payment Posting,64,4,0.98,7.3
16-03-2026,EMP042,Charge Entry,101,4,0.98,6.8
17-03-2026,EMP042,Denial Management,59,4,0.97,6.5
17-03-2026,EMP042,Denial Management,49,4,0.97,6.6
18-03-2026,EMP042,Payment Posting,67,4,0.98,7.3
18-03-2026,EMP042,Denial Management,45,4,0.97,7.9
19-03-2026,EMP042,Charge Entry,143,4,0.98,7.1
19-03-2026,EMP042,Denial Management,52,4,0.97,7
19-03-2026,EMP042,Denial Management,58,4,0.97,7.9
19-03-2026,EMP042,Denial Management,44,4,0.97,7.3
20-03-2026,EMP042,Payment Posting,75,4,0.98,7.8
20-03-2026,EMP042,Denial Management,46,4,0.97,7.6
20-03-2026,EMP042,Denial Management,34,4,0.97,7.1
21-03-2026,EMP042,Payment Posting,88,4,0.98,6.7
22-03-2026,EMP042,Payment Posting,98,4,0.98,7.9
25-03-2026,EMP042,Payment Posting,68,4,0.98,7
26-03-2026,EMP042,Payment Posting,117,4,0.98,7.3
26-03-2026,EMP042,Denial Management,59,4,0.97,7.5
27-03-2026,EMP042,Charge Entry,115,4,0.98,7.6
27-03-2026,EMP042,Payment Posting,68,4,0.98,7.5
28-03-2026,EMP042,Charge Entry,115,4,0.98,6.5
28-03-2026,EMP042,Payment Posting,100,4,0.98,6.5
30-03-2026,EMP042,Payment Posting,80,4,0.98,7.3
01-03-2026,EMP043,Payment Posting,70,4,0.98,7.1
02-03-2026,EMP043,Charge Entry,137,4,0.98,6.6
02-03-2026,EMP043,Charge Entry,106,4,0.98,7.9
02-03-2026,EMP043,Charge Entry,114,4,0.98,6.6
03-03-2026,EMP043,Denial Management,43,4,0.97,7
03-03-2026,EMP043,Payment Posting,111,4,0.98,6.9
03-03-2026,EMP043,Denial Management,56,4,0.97,6.6
06-03-2026,EMP043,Payment Posting,74,4,0.98,7.5
07-03-2026,EMP043,Payment Posting,102,4,0.98,6.6
07-03-2026,EMP043,Denial Management,44,4,0.97,7.1
11-03-2026,EMP043,Payment Posting,96,4,0.98,7.8
13-03-2026,EMP043,Denial Management,55,4,0.97,8
13-03-2026,EMP043,Payment Posting,102,4,0.98,7.1
14-03-2026,EMP043,Denial Management,38,4,0.97,7.3
14-03-2026,EMP043,Denial Management,36,4,0.97,7.9
15-03-2026,EMP043,Payment Posting,81,4,0.98,7.8
16-03-2026,EMP043,Payment Posting,104,4,0.98,6.9
16-03-2026,EMP043,Denial Management,47,4,0.97,7.1
17-03-2026,EMP043,Payment Posting,89,4,0.98,7.5
20-03-2026,EMP043,Denial Management,57,4,0.97,7.9
22-03-2026,EMP043,Denial Management,31,4,0.97,6.5
26-03-2026,EMP043,Denial Management,37,4,0.97,6.7
27-03-2026,EMP043,Charge Entry,127,4,0.98,8
29-03-2026,EMP043,Payment Posting,112,4,0.98,7.1
30-03-2026,EMP043,Denial Management,34,4,0.97,8
01-03-2026,EMP044,Payment Posting,107,4,0.98,7.3
01-03-2026,EMP044,Payment Posting,72,4,0.98,7.3
01-03-2026,EMP044,Charge Entry,128,4,0.98,6.6
02-03-2026,EMP044,Charge Entry,106,4,0.98,7.9
02-03-2026,EMP044,Payment Posting,120,4,0.98,7.5
03-03-2026,EMP044,Charge Entry,102,4,0.98,7.3
03-03-2026,EMP044,Charge Entry,139,4,0.98,7.8
05-03-2026,EMP044,Denial Management,36,4,0.97,7.6
06-03-2026,EMP044,Denial Management,51,4,0.97,7.7
06-03-2026,EMP044,Denial Management,47,4,0.97,7
09-03-2026,EMP044,Payment Posting,93,4,0.98,7.6
09-03-2026,EMP044,Denial Management,40,4,0.97,7.3
12-03-2026,EMP044,Denial Management,55,4,0.97,6.5
13-03-2026,EMP044,Denial Management,35,4,0.97,8
13-03-2026,EMP044,Payment Posting,96,4,0.98,7.3
15-03-2026,EMP044,Charge Entry,147,4,0.98,7.4
16-03-2026,EMP044,Payment Posting,83,4,0.98,7.1
17-03-2026,EMP044,Payment Posting,88,4,0.98,7.1
17-03-2026,EMP044,Payment Posting,64,4,0.98,8
22-03-2026,EMP044,Charge Entry,147,4,0.98,6.7
23-03-2026,EMP044,Charge Entry,143,4,0.98,6.6
23-03-2026,EMP044,Charge Entry,84,4,0.98,7.8
24-03-2026,EMP044,Denial Management,52,4,0.97,6.6
26-03-2026,EMP044,Charge Entry,81,4,0.98,7.9
26-03-2026,EMP044,Payment Posting,63,4,0.98,7.3
27-03-2026,EMP044,Payment Posting,118,4,0.98,6.8
29-03-2026,EMP044,Payment Posting,102,4,0.98,6.9
29-03-2026,EMP044,Charge Entry,101,4,0.98,8
30-03-2026,EMP044,Payment Posting,103,4,0.98,7.6
01-03-2026,EMP045,Payment Posting,81,4,0.89,8
01-03-2026,EMP045,Charge Entry,81,6,0.84,6.5
04-03-2026,EMP045,Denial Management,48,14,0.88,7.1
05-03-2026,EMP045,Denial Management,42,11,0.85,7.2
06-03-2026,EMP045,Denial Management,45,13,0.88,8
07-03-2026,EMP045,Denial Management,47,9,0.9,6.7
08-03-2026,EMP045,Charge Entry,114,6,0.92,6.6
09-03-2026,EMP045,Payment Posting,107,5,0.99,7.1
14-03-2026,EMP045,Payment Posting,62,5,0.96,6.9
14-03-2026,EMP045,Denial Management,32,14,0.93,8
20-03-2026,EMP045,Denial Management,47,13,0.88,7.4
20-03-2026,EMP045,Payment Posting,87,8,0.86,7.2
21-03-2026,EMP045,Charge Entry,123,4,0.84,7.9
21-03-2026,EMP045,Charge Entry,132,5,0.98,7.3
23-03-2026,EMP045,Denial Management,38,11,1,7.2
24-03-2026,EMP045,Denial Management,42,8,0.88,7.3
24-03-2026,EMP045,Payment Posting,75,5,0.84,7.2
24-03-2026,EMP045,Payment Posting,109,7,0.87,7.4
26-03-2026,EMP045,Charge Entry,130,4,0.83,7.9
27-03-2026,EMP045,Denial Management,49,12,0.89,6.5
27-03-2026,EMP045,Denial Management,34,11,0.85,6.5
27-03-2026,EMP045,Denial Management,51,11,0.95,6.7
27-03-2026,EMP045,Payment Posting,75,4,0.87,7.6
28-03-2026,EMP045,Denial Management,42,12,0.91,6.6
28-03-2026,EMP045,Denial Management,59,13,0.89,8
29-03-2026,EMP045,Charge Entry,122,6,0.87,7.3
29-03-2026,EMP045,Payment Posting,90,8,0.9,7.7
30-03-2026,EMP045,Denial Management,40,11,0.92,6.5
30-03-2026,EMP045,Charge Entry,116,4,0.93,6.5
01-03-2026,EMP046,Charge Entry,112,6,0.83,6.5
02-03-2026,EMP046,Charge Entry,100,3,0.87,7.1
04-03-2026,EMP046,Charge Entry,117,5,0.96,7.7
05-03-2026,EMP046,Denial Management,46,10,0.95,7.1
13-03-2026,EMP046,Denial Management,37,15,0.88,6.7
13-03-2026,EMP046,Charge Entry,105,5,0.91,7.1
14-03-2026,EMP046,Payment Posting,115,8,0.82,7.2
15-03-2026,EMP046,Charge Entry,89,3,0.95,7.8
16-03-2026,EMP046,Denial Management,52,9,0.85,7.2
16-03-2026,EMP046,Denial Management,51,11,0.95,6.7
18-03-2026,EMP046,Payment Posting,66,5,0.98,7.2
18-03-2026,EMP046,Charge Entry,91,4,0.95,6.9
19-03-2026,EMP046,Denial Management,59,11,0.96,7.8
20-03-2026,EMP046,Payment Posting,86,7,0.98,6.9
20-03-2026,EMP046,Charge Entry,105,5,0.93,7.3
20-03-2026,EMP046,Charge Entry,137,3,0.83,7.5
20-03-2026,EMP046,Denial Management,40,8,0.99,7.2
23-03-2026,EMP046,Charge Entry,150,6,0.92,7.6
24-03-2026,EMP046,Denial Management,46,14,0.85,7.8
24-03-2026,EMP046,Payment Posting,97,5,0.93,7.2
25-03-2026,EMP046,Payment Posting,85,6,0.86,6.7
26-03-2026,EMP046,Payment Posting,63,5,0.85,7.9
27-03-2026,EMP046,Charge Entry,116,4,0.96,7.9
29-03-2026,EMP046,Charge Entry,89,5,0.83,7.9
29-03-2026,EMP046,Payment Posting,92,8,0.94,6.7
01-03-2026,EMP047,Denial Management,40,10,0.92,6.9
02-03-2026,EMP047,Denial Management,44,12,0.96,7.9
06-03-2026,EMP047,Denial Management,46,9,0.93,7.4
07-03-2026,EMP047,Charge Entry,145,4,0.82,7.4
08-03-2026,EMP047,Denial Management,33,10,0.92,7.2
09-03-2026,EMP047,Payment Posting,61,4,1,6.9
09-03-2026,EMP047,Denial Management,58,14,0.94,7.1
11-03-2026,EMP047,Charge Entry,82,5,0.9,7.8
11-03-2026,EMP047,Denial Management,52,11,0.97,6.5
12-03-2026,EMP047,Denial Management,48,13,0.92,7.1
13-03-2026,EMP047,Payment Posting,96,4,0.85,6.8
13-03-2026,EMP047,Charge Entry,125,4,0.96,7.4
14-03-2026,EMP047,Payment Posting,73,7,0.85,7
19-03-2026,EMP047,Payment Posting,104,7,0.85,7.6
21-03-2026,EMP047,Payment Posting,72,8,0.86,6.5
22-03-2026,EMP047,Payment Posting,98,5,0.97,7.5
22-03-2026,EMP047,Denial Management,48,9,0.83,6.6
22-03-2026,EMP047,Denial Management,55,10,1,7.1
22-03-2026,EMP047,Denial Management,34,15,0.97,7.4
24-03-2026,EMP047,Charge Entry,144,4,0.96,7.6
24-03-2026,EMP047,Charge Entry,129,6,0.96,8
26-03-2026,EMP047,Charge Entry,112,6,0.88,7.3
26-03-2026,EMP047,Charge Entry,119,6,0.83,6.8
27-03-2026,EMP047,Denial Management,40,8,0.92,6.7
27-03-2026,EMP047,Charge Entry,120,3,0.85,6.8
28-03-2026,EMP047,Payment Posting,63,4,0.84,7.3
29-03-2026,EMP047,Denial Management,33,12,1,6.6
30-03-2026,EMP047,Denial Management,51,12,0.94,7.6
02-03-2026,EMP048,Payment Posting,69,4,0.98,7.8
04-03-2026,EMP048,Payment Posting,82,4,0.98,7.6
04-03-2026,EMP048,Charge Entry,124,4,0.98,6.6
05-03-2026,EMP048,Payment Posting,79,4,0.98,6.5
05-03-2026,EMP048,Charge Entry,128,4,0.98,6.8
08-03-2026,EMP048,Payment Posting,68,4,0.98,7.3
10-03-2026,EMP048,Denial Management,51,4,0.97,7.1
12-03-2026,EMP048,Charge Entry,82,4,0.98,7
13-03-2026,EMP048,Payment Posting,106,4,0.98,6.5
16-03-2026,EMP048,Charge Entry,87,4,0.98,7.5
17-03-2026,EMP048,Charge Entry,116,4,0.98,6.7
18-03-2026,EMP048,Denial Management,58,4,0.97,8
18-03-2026,EMP048,Denial Management,50,4,0.97,7.8
18-03-2026,EMP048,Charge Entry,149,4,0.98,6.7
21-03-2026,EMP048,Charge Entry,94,4,0.98,6.9
22-03-2026,EMP048,Charge Entry,132,4,0.98,6.5
23-03-2026,EMP048,Denial Management,48,4,0.97,6.9
23-03-2026,EMP048,Payment Posting,75,4,0.98,7.8
24-03-2026,EMP048,Denial Management,54,4,0.97,7.6
26-03-2026,EMP048,Denial Management,40,4,0.97,6.7
29-03-2026,EMP048,Payment Posting,69,4,0.98,6.6
30-03-2026,EMP048,Charge Entry,104,4,0.98,7.5
30-03-2026,EMP048,Denial Management,31,4,0.97,6.5
01-03-2026,EMP049,Charge Entry,97,4,0.98,7.7
04-03-2026,EMP049,Payment Posting,111,4,0.98,7.8
06-03-2026,EMP049,Charge Entry,88,4,0.98,7.2
06-03-2026,EMP049,Payment Posting,88,4,0.98,7.4
07-03-2026,EMP049,Denial Management,37,4,0.97,7.5
07-03-2026,EMP049,Charge Entry,116,4,0.98,7.8
08-03-2026,EMP049,Denial Management,37,4,0.97,6.5
09-03-2026,EMP049,Payment Posting,119,4,0.98,7
10-03-2026,EMP049,Charge Entry,113,4,0.98,7.2
11-03-2026,EMP049,Denial Management,39,4,0.97,7.5
11-03-2026,EMP049,Payment Posting,93,4,0.98,6.8
13-03-2026,EMP049,Payment Posting,68,4,0.98,7.2
14-03-2026,EMP049,Payment Posting,85,4,0.98,7.8
14-03-2026,EMP049,Payment Posting,100,4,0.98,7.3
15-03-2026,EMP049,Charge Entry,145,4,0.98,7.7
16-03-2026,EMP049,Denial Management,32,4,0.97,7.6
17-03-2026,EMP049,Charge Entry,150,4,0.98,7.7
17-03-2026,EMP049,Charge Entry,130,4,0.98,7.4
17-03-2026,EMP049,Charge Entry,139,4,0.98,6.9
17-03-2026,EMP049,Payment Posting,99,4,0.98,6.8
17-03-2026,EMP049,Payment Posting,61,4,0.98,6.9
18-03-2026,EMP049,Payment Posting,71,4,0.98,7.7
20-03-2026,EMP049,Payment Posting,117,4,0.98,7.2
20-03-2026,EMP049,Payment Posting,83,4,0.98,7.4
21-03-2026,EMP049,Denial Management,43,4,0.97,7.2
22-03-2026,EMP049,Charge Entry,113,4,0.98,7
23-03-2026,EMP049,Denial Management,34,4,0.97,6.7
24-03-2026,EMP049,Denial Management,31,4,0.97,6.9
26-03-2026,EMP049,Denial Management,34,4,0.97,6.9
26-03-2026,EMP049,Charge Entry,108,4,0.98,6.6
27-03-2026,EMP049,Charge Entry,122,4,0.98,7.2
29-03-2026,EMP049,Denial Management,51,4,0.97,7.8
29-03-2026,EMP049,Charge Entry,132,4,0.98,6.6
29-03-2026,EMP049,Charge Entry,131,4,0.98,7.2
01-03-2026,EMP050,Charge Entry,96,4,0.98,7.6
01-03-2026,EMP050,Charge Entry,89,4,0.98,7.2
01-03-2026,EMP050,Denial Management,57,4,0.97,7.5
02-03-2026,EMP050,Denial Management,53,4,0.97,6.5
02-03-2026,EMP050,Charge Entry,96,4,0.98,8
03-03-2026,EMP050,Denial Management,52,4,0.97,7
07-03-2026,EMP050,Denial Management,57,4,0.97,7.4
07-03-2026,EMP050,Denial Management,33,4,0.97,7
09-03-2026,EMP050,Denial Management,54,4,0.97,6.9
09-03-2026,EMP050,Payment Posting,101,4,0.98,6.7
11-03-2026,EMP050,Charge Entry,86,4,0.98,7.9
11-03-2026,EMP050,Charge Entry,137,4,0.98,7.5
12-03-2026,EMP050,Charge Entry,127,4,0.98,7.2
13-03-2026,EMP050,Payment Posting,96,4,0.98,7.7
13-03-2026,EMP050,Charge Entry,104,4,0.98,7.5
14-03-2026,EMP050,Denial Management,47,4,0.97,6.6
18-03-2026,EMP050,Denial Management,32,4,0.97,6.9
19-03-2026,EMP050,Denial Management,36,4,0.97,7.3
20-03-2026,EMP050,Payment Posting,65,4,0.98,6.5
21-03-2026,EMP050,Charge Entry,80,4,0.98,7
21-03-2026,EMP050,Charge Entry,147,4,0.98,7.8
21-03-2026,EMP050,Denial Management,30,4,0.97,7.4
21-03-2026,EMP050,Denial Management,50,4,0.97,6.7
21-03-2026,EMP050,Charge Entry,86,4,0.98,7.9
23-03-2026,EMP050,Denial Management,53,4,0.97,7.5
23-03-2026,EMP050,Denial Management,36,4,0.97,6.5
24-03-2026,EMP050,Charge Entry,130,4,0.98,6.5
25-03-2026,EMP050,Payment Posting,70,4,0.98,7.4
26-03-2026,EMP050,Payment Posting,89,4,0.98,7.9
26-03-2026,EMP050,Denial Management,59,4,0.97,7.7
27-03-2026,EMP050,Denial Management,46,4,0.97,6.6
27-03-2026,EMP050,Payment Posting,92,4,0.98,8
29-03-2026,EMP050,Denial Management,37,4,0.97,6.7
29-03-2026,EMP050,Payment Posting,120,4,0.98,6.6
30-03-2026,EMP050,Denial Management,54,4,0.97,7.4
30-03-2026,EMP050,Payment Posting,87,4,0.98,7.6
